"Path","SizeBytes","Size","LastModified"
"C:\Users\joshua.parris\.vscode\extensions","2268410992","2.11 GB","25/05/2026 2:16:09 PM"
"C:\Users\joshua.parris\Downloads\Other","2166623504","2.02 GB","4/05/2026 9:04:04 PM"
"C:\Users\joshua.parris\Downloads\Canon-Priority","1372256850","1.28 GB","20/05/2026 2:17:49 PM"
"C:\Users\joshua.parris\Downloads\Epic-Quest-Saga","1272139882","1.18 GB","6/05/2026 2:54:43 PM"
"C:\Users\joshua.parris\Documents\NebulaDice","502235889","478.97 MB","14/04/2026 2:42:45 PM"
"C:\Users\joshua.parris\Downloads\drive-download-20260506T225258Z-3-001","5925657","5.65 MB","14/05/2026 9:49:17 AM"
"C:\Users\joshua.parris\.cursor\ai-tracking","4734976","4.52 MB","22/05/2026 12:13:00 PM"
"C:\Users\joshua.parris\Downloads\drive-download-20260506T042127Z-3-001","4046184","3.86 MB","6/05/2026 2:22:09 PM"
"C:\Users\joshua.parris\.cursor\projects","2786950","2.66 MB","22/05/2026 12:13:42 PM"
"C:\Users\joshua.parris\Downloads\RBC-20260506T224852Z-3-001","2202393","2.10 MB","7/05/2026 8:53:09 AM"
"C:\Users\joshua.parris\Downloads\.tmp.driveupload","328469","320.77 KB","25/05/2026 3:01:17 PM"
"C:\Users\joshua.parris\Documents\CorporateGame","300130","293.10 KB","6/03/2026 8:19:04 PM"
"C:\Users\joshua.parris\.cursor\skills-cursor","143838","140.47 KB","22/05/2026 12:13:50 PM"
"C:\Users\joshua.parris\Downloads\dcsprep_surprise_6_json_files","68078","66.48 KB","14/05/2026 9:49:02 AM"
"C:\Users\joshua.parris\Downloads\_Due Invoices - Josh Parris-20260521T024709Z-3-001","22233","21.71 KB","21/05/2026 12:51:12 PM"
"C:\Users\joshua.parris\Desktop\ProBook_Audit_Report_20260525-150220","978","978 B","25/05/2026 3:02:27 PM"
"C:\Users\joshua.parris\Downloads\.vscode","40","40 B","4/05/2026 9:20:28 PM"
"C:\Users\joshua.parris\.cursor\extensions","2","2 B","15/02/2026 9:18:56 PM"
"C:\Users\joshua.parris\.vscode\cli","0","0 B","7/02/2026 1:57:11 PM"
"C:\Users\joshua.parris\Documents\My Pictures","0","0 B","19/01/2026 9:40:49 AM"
"C:\Users\joshua.parris\Documents\My Music","0","0 B","19/01/2026 9:40:49 AM"
"C:\Users\joshua.parris\Documents\My Videos","0","0 B","19/01/2026 9:40:49 AM"
"C:\Users\joshua.parris\.cursor\plugins","0","0 B","6/03/2026 8:18:01 PM"
